author;prize;short;long;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Евгений Водолазкин;3;3;0;;0;0;0;0;5;0;0;10;0;0;10;0;0;5;0;5;0;10;;0;0;0;0;5;5;5;15;15;15;25;25;25;30;30;35;35;45;
Александр Иличевский;2;4;0;;5;5;5;0;10;0;1;1;0;0;5;0;0;0;10;0;1;0;;5;10;15;15;25;25;26;27;27;27;32;32;32;32;42;42;43;43;
Дмитрий Быков;3;1;0;;10;5;1;1;0;10;0;0;0;0;0;0;10;0;0;0;1;0;;10;15;16;17;17;27;27;27;27;27;27;27;37;37;37;37;38;38;
Юрий Буйда;2;2;0;;0;0;0;0;0;5;0;10;1;0;1;1;1;0;0;5;0;10;;0;0;0;0;0;5;5;15;16;16;17;18;19;19;19;24;24;34;
Леонид Юзефович;3;0;0;;0;0;0;10;0;0;0;0;0;0;10;0;0;0;0;10;0;0;;0;0;0;10;10;10;10;10;10;10;20;20;20;20;20;30;30;30;
Виктор Пелевин;1;3;0;;0;5;0;0;10;1;0;0;0;5;1;5;1;1;0;0;0;0;;0;5;5;5;15;16;16;16;16;21;22;27;28;29;29;29;29;29;
Алексей Варламов;2;1;0;;0;10;0;1;0;0;0;0;0;5;1;0;1;0;0;0;10;0;;0;10;10;11;11;11;11;11;11;16;17;17;18;18;18;18;28;28;
Павел Басинский;2;1;0;;0;0;5;0;10;0;0;0;0;0;0;0;1;0;0;1;10;1;;0;0;5;5;15;15;15;15;15;15;15;15;16;16;16;17;27;28;
Людмила Улицкая;2;1;0;;5;10;0;0;0;1;0;0;0;0;10;0;0;0;0;0;0;0;;5;15;15;15;15;16;16;16;16;16;26;26;26;26;26;26;26;26;
Захар Прилепин;1;2;0;;0;0;1;0;1;0;5;0;10;0;1;0;0;0;1;1;0;5;;0;0;1;1;2;2;7;7;17;17;18;18;18;18;19;20;20;25;
Яхина Гузель;2;1;0;;0;0;0;0;0;0;0;0;0;10;0;0;0;10;0;0;5;0;;0;0;0;0;0;0;0;0;0;10;10;10;10;20;20;20;25;25;
Шамиль Идиатуллин;2;0;0;;0;0;0;0;1;0;0;0;0;0;0;10;0;0;10;1;1;1;;0;0;0;0;1;1;1;1;1;1;1;11;11;11;21;22;23;24;
Андрей Волос;0;4;0;;5;5;0;5;0;0;0;5;0;0;0;1;0;0;1;0;1;0;;5;10;10;15;15;15;15;20;20;20;20;21;21;21;22;22;23;23;
Роман Сенчин;1;2;0;;0;0;0;0;5;0;1;0;0;10;0;0;0;5;0;1;1;0;;0;0;0;0;5;5;6;6;6;16;16;16;16;21;21;22;23;23;
Дина Рубина;1;2;0;;0;10;0;0;1;0;0;0;0;5;0;1;0;0;5;0;0;0;;0;10;10;10;11;11;11;11;11;16;16;17;17;17;22;22;22;22;
Владимир Сорокин;2;0;0;;0;0;0;1;0;10;0;0;10;0;0;1;0;0;0;0;0;0;;0;0;0;1;1;11;11;11;21;21;21;22;22;22;22;22;22;22;
Беляков Сергей;2;0;0;;0;0;0;0;0;0;0;10;0;0;1;0;0;0;1;0;10;0;;0;0;0;0;0;0;0;10;10;10;11;11;11;11;12;12;22;22;
Алексей Слаповский;0;3;0;;1;5;0;0;1;5;0;0;0;1;1;5;0;0;0;1;1;0;;1;6;6;6;7;12;12;12;12;13;14;19;19;19;19;20;21;21;
Анна Матвеева;0;4;0;;0;1;0;0;0;0;0;5;0;5;5;0;0;0;0;0;5;0;;0;1;1;1;1;1;1;6;6;11;16;16;16;16;16;16;21;21;
Александр Кабаков;2;0;0;;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;
Михаил Шишкин;2;0;0;;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;
Ольга Славникова;0;4;0;;5;0;0;5;0;5;0;0;0;0;0;0;5;0;0;0;0;0;;5;5;5;10;10;15;15;15;15;15;15;15;20;20;20;20;20;20;
Леонид Зорин;2;0;0;;0;0;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;;0;0;0;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;
Сальников Алексей;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;10;;0;0;0;0;0;0;0;0;0;0;0;5;5;10;10;10;10;20;
Валерий Попов;1;1;0;;0;0;1;0;0;0;5;0;0;0;0;0;0;10;0;0;1;0;;0;0;1;1;1;1;6;6;6;6;6;6;6;16;16;16;17;17;
Дмитрий Данилов;0;3;0;;0;0;0;0;0;5;0;5;0;0;1;1;0;0;0;0;5;0;;0;0;0;0;0;5;5;10;10;10;11;12;12;12;12;12;17;17;
Лев Данилкин;1;1;0;;0;5;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;;0;5;5;5;5;6;6;6;6;6;6;16;16;16;16;16;16;16;
Андрей Рубанов;0;2;0;;0;0;1;0;1;1;5;0;0;0;0;5;0;1;0;1;0;1;;0;0;1;1;2;3;8;8;8;8;8;13;13;14;14;15;15;16;
Владимир Маканин;1;1;0;;0;0;10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15;
Владимир Шаров;1;1;0;;0;0;5;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;;0;0;5;5;5;5;5;5;15;15;15;15;15;15;15;15;15;15;
Александр Архангельский;1;0;0;;0;0;1;1;0;0;0;1;0;0;1;0;10;0;0;0;1;0;;0;0;1;2;2;2;2;3;3;3;4;4;14;14;14;14;15;15;
Александр Терехов;1;1;0;;0;0;0;10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;;0;0;0;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;
Мария Галина;0;3;0;;0;0;0;5;0;0;5;0;0;0;5;0;0;0;0;0;0;0;;0;0;0;5;5;5;10;10;10;10;15;15;15;15;15;15;15;15;
Михаил Гиголашвили;0;3;0;;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;5;0;0;;0;0;0;0;5;5;5;5;5;5;5;10;10;10;10;15;15;15;
Кучерская Майя;1;1;0;;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;15;15;15;
Ермаков Олег;0;2;0;;0;0;0;0;0;0;0;0;0;1;0;1;5;1;0;0;5;1;;0;0;0;0;0;0;0;0;0;1;1;2;7;8;8;8;13;14;
Василий Авченко;0;2;0;;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;1;5;;0;0;0;0;1;1;1;1;1;1;2;2;2;2;7;7;8;13;
Сергей Шаргунов;1;0;0;;0;0;0;0;0;1;0;0;1;0;0;10;1;0;0;0;0;0;;0;0;0;0;0;1;1;1;2;2;2;12;13;13;13;13;13;13;
Попов Евгений;1;0;0;;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;10;11;11;11;11;11;11;11;11;11;12;13;
Максим Кантор;0;2;0;;5;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;0;;5;5;5;5;6;6;6;11;11;11;12;12;12;12;12;12;12;12;
Борис Евсеев;0;2;0;;1;0;0;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;1;1;6;11;11;11;11;11;11;11;12;12;12;12;12;12;12;
Букша Ксения;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;1;1;5;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;6;7;12;12;12;12;
Макушинский Алексей;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;1;0;5;0;1;0;;0;0;0;0;0;0;0;0;5;5;5;5;6;6;11;11;12;12;
Борис Васильев;1;0;0;;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
Людмила Сараскина;1;0;0;;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;
Рустам Рахматуллин;1;0;0;;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
Андрей Дмитриев;0;2;0;;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;;0;0;1;1;1;1;6;6;6;6;6;6;6;6;6;11;11;11;
Андрей Балдин;0;2;0;;0;0;0;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;10;10;11;11;11;11;11;11;11;11;11;11;11;11;
Сергей Солоух;0;2;0;;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;1;0;;0;0;0;0;0;5;5;5;5;5;10;10;10;10;10;10;11;11;
Даниил Гранин;1;0;0;;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;11;11;11;11;11;11;11;11;11;11;11;11;
Тимур Кибиров;1;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;1;1;1;1;1;1;1;1;1;11;11;11;11;
Виктория Токарева;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;11;
Наум Коржавин;1;0;0;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Алексей Иванов;0;2;0;;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;
Андрей Битов;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Валентин Распутин;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Илья Кормильцев;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Александр Солженицын;1;0;0;;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Антон Павлович Чехов;1;0;0;;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Питер Мейер;1;0;0;;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;
Фазиль Искандер;1;0;0;;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;
Степнова Марина;1;0;0;;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Галлимар Антуан;1;0;0;;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Григоренко Александр;0;2;0;;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;5;10;10;10;10;10;10;10;10;10;10;
Евгений Евтушенко;1;0;0;;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;
Чижов Евгений;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;5;5;10;10;10;10;
Залотуха Валерий;1;0;0;;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;
Телеканал ВГТРК;1;0;0;;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;
Международная ярмарка интеллектуальной литературы «Non/fiction»;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;
Мария Степанова;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Людмила Петрушевская;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Евгения Лисицина;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Олег Лекманов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Михаил Свердлов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Илья Симановский;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Григорий Служитель;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Мария Лебедева;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Михаил Сеславинский;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;
Сергей Лебеденко;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;
Евгений Кремчуков;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;10;
София Синицкая;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;10;
Виктор Ремезов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Коллектив Государственного музея истории российской литературы имени В. И. Даля;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Иван Родионов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Оксана Васякина;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;
Институт прикладной астрономии Российской академии наук;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;
Дина Озерова;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;
Павел Крусанов;0;1;0;;1;0;0;0;5;0;1;0;0;0;0;1;0;0;0;1;0;0;;1;1;1;1;6;6;7;7;7;7;7;8;8;8;8;9;9;9;
Сергей Носов;0;1;0;;0;0;0;1;0;0;5;0;0;1;0;0;1;0;0;1;0;0;;0;0;0;1;1;1;6;6;6;7;7;7;8;8;8;9;9;9;
Самсонов Сергей;0;1;0;;0;0;0;0;0;0;1;0;0;1;0;5;0;1;0;1;0;0;;0;0;0;0;0;0;1;1;1;2;2;7;7;8;8;9;9;9;
Юрий Арабов;0;1;0;;0;1;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;;0;1;1;2;2;7;7;7;8;8;8;8;8;8;8;8;8;8;
Лена Элтанг;0;1;0;;0;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;;0;1;1;2;2;2;7;7;7;7;7;7;7;7;7;7;8;8;
Маргарита Хемлин;0;1;0;;0;0;5;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;5;5;6;7;7;8;8;8;8;8;8;8;8;8;8;8;
Наталья Громова;0;1;0;;0;0;0;0;1;0;0;0;1;0;0;0;1;0;5;0;0;0;;0;0;0;0;1;1;1;1;2;2;2;2;3;3;8;8;8;8;
Сергей Кузнецов;0;1;0;;0;0;0;0;0;5;0;0;0;0;1;0;1;1;0;0;0;0;;0;0;0;0;0;5;5;5;5;5;6;6;7;8;8;8;8;8;
Филипенко Саша;0;1;0;;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;1;0;;0;0;0;0;0;0;0;0;0;1;6;6;6;6;7;7;8;8;
Анатолий Королев;0;1;0;;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
Марина Палей;0;1;0;;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;5;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;
Илья Бояшов;0;1;0;;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;0;0;5;5;5;5;5;5;5;5;5;5;5;5;6;7;7;7;
Сухбат Афлатуни;0;1;0;;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;0;;0;0;0;0;1;1;1;1;1;2;2;2;2;7;7;7;7;7;
Эдуард Веркин;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;7;
Петр Алешковский;0;1;0;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;
Дмитрий Бавильский;0;1;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;
Игорь Ефимов;0;1;0;;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;
Игорь Сахновский;0;1;0;;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;
